ds,yhat,yhat_lower,yhat_upper
2024-05-27,-17.077749842742193,-22.733195340103688,-10.913353253511946
2024-05-28,-17.059400537666104,-23.275435530640298,-11.066487880618025
2024-05-29,-16.21282557706584,-22.40286389385461,-9.995017717838452
2024-05-30,-16.212351857140398,-22.43317636577992,-10.355846489252254
2024-05-31,-16.5195497711065,-22.76557747063763,-10.349617915592473
2024-06-01,-12.65394652162969,-18.389671228026025,-6.590415007634111
2024-06-02,-13.999527892634571,-19.754275900902698,-7.8933624754311404
2024-06-03,-16.689573842740888,-22.433748329045414,-10.4751641883983
2024-06-04,-16.671224537660382,-22.7123078377502,-11.261808380789416
2024-06-05,-15.824649577069378,-21.955603265586248,-9.852931891680019
2024-06-06,-15.824175857140744,-21.93419218271987,-9.643957264590911
2024-06-07,-16.13137377111465,-21.989825957528357,-9.93546420449763
2024-06-08,-12.265770521626976,-18.277738855609698,-5.810400751842378
2024-06-09,-13.611810949067635,-19.39468895789762,-7.91503416207604
2024-06-10,-16.302315955600463,-22.434411933674582,-10.186251732705719
2024-06-11,-16.284425706947808,-22.473545260500195,-10.505652292728307
2024-06-12,-15.438309802784733,-21.63284071472798,-8.901790905036215
2024-06-13,-15.438295139283953,-21.358234856444795,-9.80060515042608
2024-06-14,-15.745952109684305,-21.904352148881692,-9.974303067242005
2024-06-15,-11.880807916627676,-18.505099932694034,-5.280993837849201
2024-06-16,-13.226848344066081,-19.75774904653625,-7.212093177616059
2024-06-17,-15.917353350602893,-21.624148012660843,-9.996647992477154
2024-06-18,-15.899463101952191,-22.388229019491494,-9.519045865708458
2024-06-19,-15.053347197785316,-21.005618469144444,-9.578498134971161
2024-06-20,-15.053332534446508,-20.739459095542838,-8.61176962185718
2024-06-21,-15.360989505003676,-21.25665400874925,-8.84187882468096
2024-06-22,-11.495845312106747,-17.45983422412561,-5.238005505716589
2024-06-23,-12.841885739701075,-19.154707974548288,-7.026174123669959
2024-06-24,-15.532390746408307,-21.530509648685715,-9.391173783784744
2024-06-25,-15.514500497917478,-21.66253699665691,-9.709565731594186
2024-06-26,-14.668384593907119,-21.27528417391127,-8.823571873105493
2024-06-27,-14.668369930569419,-21.183482009402383,-8.967740847854502
2024-06-28,-14.976026901126028,-20.830360916886647,-8.807387209289965
2024-06-29,-11.110882708239311,-16.95652422957148,-4.912245751768545
2024-06-30,-12.45692313582672,-18.445428605663984,-6.790415476821583
2024-07-01,-15.147428142531178,-21.15417454941379,-9.280531965588871
2024-07-02,-15.129537893910307,-21.11715459022702,-8.709404314176167
2024-07-03,-14.283421989770247,-19.650106244087866,-8.272767068344272
2024-07-04,-14.283407326303594,-19.763740384268427,-8.154782935478103
2024-07-05,-14.591064296731025,-20.323311126951133,-8.612382953504127
2024-07-06,-10.725920103714074,-16.76968381568765,-4.347916749734153
2024-07-07,-12.071960531179348,-18.013930872097475,-5.624789391736269
2024-07-08,-14.76246553775614,-20.79772779482619,-8.725160519305687
2024-07-09,-14.744575289129768,-20.7279005028171,-8.369581173102471
2024-07-10,-13.898459384992584,-20.264339947853905,-7.931859423615823
2024-07-11,-13.898444721522738,-20.1909022332979,-7.588665883545628
2024-07-12,-14.20610169194805,-20.506941559900664,-8.144266215631411
2024-07-13,-10.340957498931857,-16.120444454674796,-4.441094378137661
2024-07-14,-11.686997927386475,-17.434505838830336,-5.847587669393844
2024-07-15,-14.377502934932608,-20.738327194341462,-8.280182379282397
2024-07-16,-14.359612687298084,-20.374668763834293,-8.328465309795174
2024-07-17,-13.513496784144376,-19.72391822013422,-7.731488857068346
2024-07-18,-13.513482121662706,-19.709663420952726,-7.594371593668939
2024-07-19,-13.821139093068027,-19.652389271659885,-8.177116342890265
2024-07-20,-9.955994901044235,-16.016040422553626,-3.8148058152438176
2024-07-21,-11.302035329490618,-17.387116326968833,-5.24154115599777
2024-07-22,-13.992540337040737,-20.15326868667563,-8.009463763751079
2024-07-23,-13.97465008940549,-19.987183094142836,-8.058589897401639
2024-07-24,-13.128534186250658,-18.993997394323678,-7.362615872413718
2024-07-25,-13.12851952441495,-19.22974614803639,-6.629241353089986
2024-07-26,-13.43617649647109,-19.825380874139125,-7.226206158414175
2024-07-27,-9.57103230508268,-15.57009541048841,-3.598183787866152
2024-07-28,-10.917072734179145,-16.78851931457629,-5.037026496086796
2024-07-29,-13.607577742368049,-19.217552037341626,-7.146362695245148
2024-07-30,-13.58968749537669,-19.993196946745265,-7.4242980774855045
2024-07-31,-12.743571592869515,-18.671632652497074,-6.54822917141542
2024-08-01,-12.743556931031476,-18.9903482585576,-7.0046204563066485
2024-08-02,-13.051213903087007,-19.152333053253322,-6.916333165234226
2024-08-03,-9.186069711697755,-14.763690798353325,-3.176583399279465
2024-08-04,-10.532110140798403,-16.282772245653536,-4.5052945259457235
2024-08-05,-13.22261514898453,-19.279039110252054,-7.4279867451664785
2024-08-06,-13.204724902335334,-19.23467318978928,-7.261281291987423
2024-08-07,-12.35860900016618,-18.374195219696723,-6.50776436552848
2024-08-08,-12.358594338668658,-18.41717373520933,-6.447931131380421
2024-08-09,-12.6662513110596,-18.711387815687754,-6.987185149946646
2024-08-10,-8.801107120010256,-15.206014706844805,-2.942672390790281
2024-08-11,-10.147147549440644,-15.977603112209826,-3.3164753748964877
