ds,y,created_at,updated_at
2024-05-27,314,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-05-28,327,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-05-29,313,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-05-30,181,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-05-31,205,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-01,189,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-02,204,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-03,194,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-04,215,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-05,193,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-06,201,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-07,190,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-08,185,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-09,188,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-10,206,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-11,205,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-12,196,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-13,179,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-14,202,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-15,183,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-16,215,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-17,191,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-18,190,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-19,184,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-20,189,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-21,191,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-22,187,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-23,195,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-24,184,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-25,189,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-26,180,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-27,204,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-28,195,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-29,174,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-06-30,179,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-01,175,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-02,180,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-03,169,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-04,169,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-05,173,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-06,185,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-07,183,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-08,212,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-09,186,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-10,171,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-11,193,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-12,201,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-13,193,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-14,175,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-15,195,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-16,176,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-17,182,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
